Date,Ticker,Price,Quantity,Trans Code
2024-04-01,AAPL,169.23,98,BUY
2024-04-02,AAPL,168.05,37,SELL
2024-04-03,TSLA,168.38,27,SELL
2024-04-04,NVDA,85.88,42,SELL
2024-04-05,AAPL,168.78,19,BUY
2024-04-08,TSLA,172.98,33,SELL
2024-04-09,TSLA,176.88,39,SELL
2024-04-10,NVDA,87.01,56,SELL
2024-04-11,NVDA,90.59,49,BUY
2024-04-12,AAPL,175.72,27,SELL
2024-04-15,AAPL,171.88,18,BUY
2024-04-16,AAPL,168.58,92,SELL
2024-04-17,NVDA,84.01,36,SELL
2024-04-18,TSLA,149.93,80,BUY
2024-04-19,TSLA,147.05,40,SELL
2024-04-22,NVDA,79.49,44,SELL
2024-04-23,NVDA,82.4,50,BUY
2024-04-24,AAPL,168.23,23,SELL
2024-04-25,NVDA,82.6,97,BUY
2024-04-26,AAPL,168.5,60,SELL
2024-04-29,AAPL,172.68,91,BUY
2024-04-30,TSLA,183.28,72,BUY
2024-05-01,TSLA,179.99,25,BUY
2024-05-02,AAPL,172.22,77,SELL
